Category,Winner,Film
Best Picture,Nomadland,Nomadland
Best Director,Chloé Zhao,Nomadland
Best Actor,Anthony Hopkins,The Father
Best Actress,Frances McDormand,Nomadland
Best Supporting Actor,Daniel Kaluuya,Judas and the Black Messiah
Best Supporting Actress,Youn Yuh-jung,Minari
Best Original Screenplay,Emerald Fennell,Promising Young Woman
Best Adapted Screenplay,Christopher Hampton and Florian Zeller,The Father
Best Animated Feature,Soul,Soul
Best International Feature Film,Another Round,Denmark
