Category,Winner,Film
Best Picture,CODA,CODA
Best Director,Jane Campion,The Power of the Dog
Best Actor,Will Smith,King Richard
Best Actress,Jessica Chastain,The Eyes of Tammy Faye
Best Supporting Actor,Troy Kotsur,CODA
Best Supporting Actress,Ariana DeBose,West Side Story
Best Original Screenplay,Kenneth Branagh,Belfast
Best Adapted Screenplay,Siân Heder,CODA
Best Animated Feature,Encanto,Encanto
Best International Feature Film,Drive My Car,Japan
