Category,Winner,Film
Best Picture,Oppenheimer,Oppenheimer
Best Director,Christopher Nolan,Oppenheimer
Best Actor,Cillian Murphy,Oppenheimer
Best Actress,Emma Stone,Poor Things
Best Supporting Actor,Robert Downey Jr.,Oppenheimer
Best Supporting Actress,Da'Vine Joy Randolph,The Holdovers
Best Original Screenplay,Justine Triet and Arthur Harari,Anatomy of a Fall
Best Adapted Screenplay,Cord Jefferson,American Fiction
Best Animated Feature,The Boy and the Heron,The Boy and the Heron
Best International Feature Film,The Zone of Interest,United Kingdom
